From,PM2.5 (µg/m3)
02/02/2023 16:00,21
02/02/2023 16:15,21
02/02/2023 16:30,21
02/02/2023 16:45,26
02/02/2023 17:00,26
02/02/2023 17:15,26
02/02/2023 17:30,26
02/02/2023 17:45,31
02/02/2023 18:00,31
02/02/2023 18:15,31
02/02/2023 18:30,31
02/02/2023 18:45,86
02/02/2023 19:00,86
02/02/2023 19:15,86
02/02/2023 19:30,86
02/02/2023 19:45,120
02/02/2023 20:00,120
02/02/2023 20:15,120
02/02/2023 20:30,120
02/02/2023 20:45,92
02/02/2023 21:00,92
02/02/2023 21:15,92
02/02/2023 21:30,92
02/02/2023 21:45,72
02/02/2023 22:00,72
02/02/2023 22:15,72
02/02/2023 22:30,72
02/02/2023 22:45,78
02/02/2023 23:00,78
02/02/2023 23:15,78
02/02/2023 23:30,78
02/02/2023 23:45,59
03/02/2023 00:00,59
03/02/2023 00:15,59
03/02/2023 00:30,59
03/02/2023 00:45,67
03/02/2023 01:00,67
03/02/2023 01:15,67
03/02/2023 01:30,67
03/02/2023 01:45,62
03/02/2023 02:00,62
03/02/2023 02:15,62
03/02/2023 02:30,62
03/02/2023 02:45,56
03/02/2023 03:00,56
03/02/2023 03:15,56
03/02/2023 03:30,56
03/02/2023 03:45,62
03/02/2023 04:00,62
03/02/2023 04:15,62
03/02/2023 04:30,62
03/02/2023 04:45,77
03/02/2023 05:00,77
03/02/2023 05:15,77
03/02/2023 05:30,77
03/02/2023 05:45,75
03/02/2023 06:00,75
03/02/2023 06:15,75
03/02/2023 06:30,75
03/02/2023 06:45,58
03/02/2023 07:00,58
03/02/2023 07:15,58
03/02/2023 07:30,58
03/02/2023 07:45,100
03/02/2023 08:00,100
03/02/2023 08:15,100
03/02/2023 08:30,100
03/02/2023 08:45,92
03/02/2023 09:00,92
03/02/2023 09:15,92
03/02/2023 09:30,92
03/02/2023 09:45,50
03/02/2023 10:00,50
03/02/2023 10:15,50
03/02/2023 10:30,50
03/02/2023 10:45,37
03/02/2023 11:00,37
03/02/2023 11:15,37
03/02/2023 11:30,37
03/02/2023 11:45,22
03/02/2023 12:00,22
03/02/2023 12:15,22
03/02/2023 12:30,22
03/02/2023 12:45,27
03/02/2023 13:00,27
03/02/2023 13:15,27
03/02/2023 13:30,27
03/02/2023 13:45,24
03/02/2023 14:00,24
03/02/2023 14:15,24
03/02/2023 14:30,24
03/02/2023 14:45,27
03/02/2023 15:00,27
03/02/2023 15:15,27
03/02/2023 15:30,27
03/02/2023 15:45,14
03/02/2023 16:00,14
03/02/2023 16:15,14
03/02/2023 16:30,14
03/02/2023 16:45,34
03/02/2023 17:00,34
03/02/2023 17:15,34
03/02/2023 17:30,34
03/02/2023 17:45,38
03/02/2023 18:00,38
03/02/2023 18:15,38
03/02/2023 18:30,38
03/02/2023 18:45,64
03/02/2023 19:00,64
03/02/2023 19:15,64
03/02/2023 19:30,64
03/02/2023 19:45,60
03/02/2023 20:00,60
03/02/2023 20:15,60
03/02/2023 20:30,60
03/02/2023 20:45,52
03/02/2023 21:00,52
03/02/2023 21:15,52
03/02/2023 21:30,52
03/02/2023 21:45,59
03/02/2023 22:00,59
03/02/2023 22:15,59
03/02/2023 22:30,59
03/02/2023 22:45,52
03/02/2023 23:00,52
03/02/2023 23:15,52
03/02/2023 23:30,52
03/02/2023 23:45,67
04/02/2023 00:00,67
04/02/2023 00:15,67
04/02/2023 00:30,67
04/02/2023 00:45,76
04/02/2023 01:00,76
04/02/2023 01:15,76
04/02/2023 01:30,76
04/02/2023 01:45,68
04/02/2023 02:00,68
04/02/2023 02:15,68
04/02/2023 02:30,68
04/02/2023 02:45,53
04/02/2023 03:00,53
04/02/2023 03:15,53
04/02/2023 03:30,53
04/02/2023 03:45,51
04/02/2023 04:00,51
04/02/2023 04:15,51
04/02/2023 04:30,51
04/02/2023 04:45,49
04/02/2023 05:00,49
04/02/2023 05:15,49
04/02/2023 05:30,49
04/02/2023 05:45,85
04/02/2023 06:00,85
04/02/2023 06:15,85
04/02/2023 06:30,85
04/02/2023 06:45,180
04/02/2023 07:00,180
04/02/2023 07:15,180
04/02/2023 07:30,180
04/02/2023 07:45,306
04/02/2023 08:00,306
04/02/2023 08:15,306
04/02/2023 08:30,306
04/02/2023 08:45,102
04/02/2023 09:00,102
04/02/2023 09:15,102
04/02/2023 09:30,102
04/02/2023 09:45,47
04/02/2023 10:00,47
04/02/2023 10:15,47
04/02/2023 10:30,47
04/02/2023 10:45,27
04/02/2023 11:00,27
04/02/2023 11:15,27
04/02/2023 11:30,27
04/02/2023 11:45,28
04/02/2023 12:00,28
04/02/2023 12:15,28
04/02/2023 12:30,28
04/02/2023 12:45,21
04/02/2023 13:00,20.875
04/02/2023 13:15,20.75
04/02/2023 13:30,20.625
04/02/2023 13:45,20.5
04/02/2023 14:00,20.375
04/02/2023 14:15,20.25
04/02/2023 14:30,20.125
04/02/2023 14:45,20
04/02/2023 15:00,20
04/02/2023 15:15,20
04/02/2023 15:30,20
04/02/2023 15:45,22
04/02/2023 16:00,22
04/02/2023 16:15,22
04/02/2023 16:30,22
04/02/2023 16:45,22
04/02/2023 17:00,22
04/02/2023 17:15,22
04/02/2023 17:30,22
04/02/2023 17:45,25
04/02/2023 18:00,25
04/02/2023 18:15,25
04/02/2023 18:30,25
04/02/2023 18:45,50
04/02/2023 19:00,50
04/02/2023 19:15,50
04/02/2023 19:30,50
04/02/2023 19:45,62
04/02/2023 20:00,62
04/02/2023 20:15,62
04/02/2023 20:30,62
04/02/2023 20:45,112
04/02/2023 21:00,112
04/02/2023 21:15,112
04/02/2023 21:30,112
04/02/2023 21:45,79
04/02/2023 22:00,79
04/02/2023 22:15,79
04/02/2023 22:30,79
04/02/2023 22:45,108
04/02/2023 23:00,108
04/02/2023 23:15,108
04/02/2023 23:30,108
04/02/2023 23:45,134
05/02/2023 00:00,134
05/02/2023 00:15,134
05/02/2023 00:30,134
05/02/2023 00:45,116
05/02/2023 01:00,116
05/02/2023 01:15,116
05/02/2023 01:30,116
05/02/2023 01:45,123
05/02/2023 02:00,123
05/02/2023 02:15,123
05/02/2023 02:30,123
05/02/2023 02:45,111
05/02/2023 03:00,111
05/02/2023 03:15,111
05/02/2023 03:30,111
05/02/2023 03:45,85
05/02/2023 04:00,85
05/02/2023 04:15,85
05/02/2023 04:30,85
05/02/2023 04:45,57
05/02/2023 05:00,57
05/02/2023 05:15,57
05/02/2023 05:30,57
05/02/2023 05:45,52
05/02/2023 06:00,52
05/02/2023 06:15,52
05/02/2023 06:30,52
05/02/2023 06:45,151
05/02/2023 07:00,151
05/02/2023 07:15,151
05/02/2023 07:30,151
05/02/2023 07:45,133
05/02/2023 08:00,133
05/02/2023 08:15,133
05/02/2023 08:30,133
05/02/2023 08:45,69
05/02/2023 09:00,69
05/02/2023 09:15,69
05/02/2023 09:30,69
05/02/2023 09:45,64
05/02/2023 10:00,64
05/02/2023 10:15,64
05/02/2023 10:30,64
05/02/2023 10:45,38
05/02/2023 11:00,38
05/02/2023 11:15,38
05/02/2023 11:30,38
05/02/2023 11:45,26
05/02/2023 12:00,26
05/02/2023 12:15,26
05/02/2023 12:30,26
05/02/2023 12:45,25
05/02/2023 13:00,25
05/02/2023 13:15,25
05/02/2023 13:30,25
05/02/2023 13:45,23
05/02/2023 14:00,23
05/02/2023 14:15,23
05/02/2023 14:30,23
05/02/2023 14:45,12
05/02/2023 15:00,12
05/02/2023 15:15,12
05/02/2023 15:30,16.85714286
05/02/2023 15:45,21.71428572
05/02/2023 16:00,26.57142857
05/02/2023 16:15,31.42857143
05/02/2023 16:30,36.28571429
05/02/2023 16:45,41.14285714
05/02/2023 17:00,46
05/02/2023 17:15,50.85714286
05/02/2023 17:30,55.71428571
05/02/2023 17:45,60.57142857
05/02/2023 18:00,65.42857143
05/02/2023 18:15,70.28571428
05/02/2023 18:30,75.14285715
05/02/2023 18:45,80
05/02/2023 19:00,80
05/02/2023 19:15,80
05/02/2023 19:30,80
05/02/2023 19:45,125
05/02/2023 20:00,125
05/02/2023 20:15,125
05/02/2023 20:30,125
05/02/2023 20:45,105
05/02/2023 21:00,105
05/02/2023 21:15,105
05/02/2023 21:30,105
05/02/2023 21:45,145
05/02/2023 22:00,145
05/02/2023 22:15,145
05/02/2023 22:30,145
05/02/2023 22:45,128
05/02/2023 23:00,128
05/02/2023 23:15,128
05/02/2023 23:30,128
05/02/2023 23:45,158
06/02/2023 00:00,158
06/02/2023 00:15,158
06/02/2023 00:30,158
06/02/2023 00:45,105
06/02/2023 01:00,105
06/02/2023 01:15,105
06/02/2023 01:30,105
06/02/2023 01:45,141
06/02/2023 02:00,141
06/02/2023 02:15,141
06/02/2023 02:30,141
06/02/2023 02:45,96
06/02/2023 03:00,96
06/02/2023 03:15,96
06/02/2023 03:30,96
06/02/2023 03:45,67
06/02/2023 04:00,67
06/02/2023 04:15,67
06/02/2023 04:30,67
06/02/2023 04:45,112
06/02/2023 05:00,112
06/02/2023 05:15,112
06/02/2023 05:30,112
06/02/2023 05:45,89
06/02/2023 06:00,89
06/02/2023 06:15,89
06/02/2023 06:30,89
06/02/2023 06:45,78
06/02/2023 07:00,78
06/02/2023 07:15,78
06/02/2023 07:30,78
06/02/2023 07:45,124
06/02/2023 08:00,124
06/02/2023 08:15,124
06/02/2023 08:30,124
06/02/2023 08:45,98
06/02/2023 09:00,98
06/02/2023 09:15,98
06/02/2023 09:30,98
06/02/2023 09:45,49
06/02/2023 10:00,49
06/02/2023 10:15,49
06/02/2023 10:30,49
06/02/2023 10:45,48
06/02/2023 11:00,48
06/02/2023 11:15,48
06/02/2023 11:30,48
06/02/2023 11:45,26
06/02/2023 12:00,26
06/02/2023 12:15,26
06/02/2023 12:30,26
06/02/2023 12:45,21
06/02/2023 13:00,21
06/02/2023 13:15,21
06/02/2023 13:30,21
06/02/2023 13:45,14
06/02/2023 14:00,14
06/02/2023 14:15,14
06/02/2023 14:30,14
06/02/2023 14:45,15
06/02/2023 15:00,15
06/02/2023 15:15,15
06/02/2023 15:30,15
06/02/2023 15:45,12
06/02/2023 16:00,12
06/02/2023 16:15,12
06/02/2023 16:30,12
06/02/2023 16:45,19
06/02/2023 17:00,19
06/02/2023 17:15,19
06/02/2023 17:30,19
06/02/2023 17:45,29
06/02/2023 18:00,29
06/02/2023 18:15,29
06/02/2023 18:30,29
06/02/2023 18:45,82
06/02/2023 19:00,82
06/02/2023 19:15,82
06/02/2023 19:30,82
06/02/2023 19:45,59
06/02/2023 20:00,59
06/02/2023 20:15,59
06/02/2023 20:30,59
06/02/2023 20:45,59
06/02/2023 21:00,59
06/02/2023 21:15,59
06/02/2023 21:30,59
06/02/2023 21:45,97
06/02/2023 22:00,97
06/02/2023 22:15,97
06/02/2023 22:30,97
06/02/2023 22:45,94
06/02/2023 23:00,94
06/02/2023 23:15,94
06/02/2023 23:30,94
06/02/2023 23:45,100
07/02/2023 00:00,100
07/02/2023 00:15,100
07/02/2023 00:30,100
07/02/2023 00:45,128
07/02/2023 01:00,128
07/02/2023 01:15,128
07/02/2023 01:30,128
07/02/2023 01:45,100
07/02/2023 02:00,100
07/02/2023 02:15,100
07/02/2023 02:30,100
07/02/2023 02:45,81
07/02/2023 03:00,81
07/02/2023 03:15,81
07/02/2023 03:30,81
07/02/2023 03:45,58
07/02/2023 04:00,58
07/02/2023 04:15,58
07/02/2023 04:30,58
07/02/2023 04:45,54
07/02/2023 05:00,54
07/02/2023 05:15,54
07/02/2023 05:30,54
07/02/2023 05:45,100
07/02/2023 06:00,100
07/02/2023 06:15,100
07/02/2023 06:30,100
07/02/2023 06:45,122
07/02/2023 07:00,122
07/02/2023 07:15,122
07/02/2023 07:30,122
07/02/2023 07:45,339
07/02/2023 08:00,339
07/02/2023 08:15,339
07/02/2023 08:30,339
07/02/2023 08:45,50
07/02/2023 09:00,50
07/02/2023 09:15,50
07/02/2023 09:30,50
07/02/2023 09:45,65
07/02/2023 10:00,65
07/02/2023 10:15,65
07/02/2023 10:30,65
07/02/2023 10:45,45
07/02/2023 11:00,45
07/02/2023 11:15,45
07/02/2023 11:30,45
07/02/2023 11:45,24
07/02/2023 12:00,24
07/02/2023 12:15,24
07/02/2023 12:30,24
07/02/2023 12:45,17
07/02/2023 13:00,17
07/02/2023 13:15,17
07/02/2023 13:30,17
07/02/2023 13:45,11
07/02/2023 14:00,11
07/02/2023 14:15,11
07/02/2023 14:30,11
07/02/2023 14:45,13
07/02/2023 15:00,13
07/02/2023 15:15,13
07/02/2023 15:30,13
07/02/2023 15:45,10
07/02/2023 16:00,10
07/02/2023 16:15,10
07/02/2023 16:30,10
07/02/2023 16:45,17
07/02/2023 17:00,17
07/02/2023 17:15,17
07/02/2023 17:30,17
07/02/2023 17:45,30
07/02/2023 18:00,30
07/02/2023 18:15,30
07/02/2023 18:30,30
07/02/2023 18:45,49
07/02/2023 19:00,49
07/02/2023 19:15,49
07/02/2023 19:30,49
07/02/2023 19:45,29
07/02/2023 20:00,29
07/02/2023 20:15,29
07/02/2023 20:30,29
07/02/2023 20:45,30
07/02/2023 21:00,30
07/02/2023 21:15,30
07/02/2023 21:30,30
07/02/2023 21:45,29
07/02/2023 22:00,29
07/02/2023 22:15,29
07/02/2023 22:30,29
07/02/2023 22:45,59
07/02/2023 23:00,59
07/02/2023 23:15,59
07/02/2023 23:30,59
07/02/2023 23:45,49
08/02/2023 00:00,49
08/02/2023 00:15,49
08/02/2023 00:30,49
08/02/2023 00:45,85
08/02/2023 01:00,85
08/02/2023 01:15,85
08/02/2023 01:30,85
08/02/2023 01:45,78
08/02/2023 02:00,78
08/02/2023 02:15,78
08/02/2023 02:30,78
08/02/2023 02:45,69
08/02/2023 03:00,69
08/02/2023 03:15,69
08/02/2023 03:30,69
08/02/2023 03:45,73
08/02/2023 04:00,73
08/02/2023 04:15,73
08/02/2023 04:30,73
08/02/2023 04:45,58
08/02/2023 05:00,58
08/02/2023 05:15,58
08/02/2023 05:30,58
08/02/2023 05:45,50
08/02/2023 06:00,50
08/02/2023 06:15,50
08/02/2023 06:30,50
08/02/2023 06:45,39
08/02/2023 07:00,39
08/02/2023 07:15,39
08/02/2023 07:30,39
08/02/2023 07:45,93
08/02/2023 08:00,93
08/02/2023 08:15,93
08/02/2023 08:30,93
08/02/2023 08:45,68
08/02/2023 09:00,68
08/02/2023 09:15,68
08/02/2023 09:30,68
08/02/2023 09:45,53
08/02/2023 10:00,53
08/02/2023 10:15,53
08/02/2023 10:30,53
08/02/2023 10:45,43
08/02/2023 11:00,43
08/02/2023 11:15,43
08/02/2023 11:30,43
08/02/2023 11:45,30
08/02/2023 12:00,30
08/02/2023 12:15,30
08/02/2023 12:30,30
08/02/2023 12:45,25
08/02/2023 13:00,25
08/02/2023 13:15,25
08/02/2023 13:30,25
08/02/2023 13:45,24
08/02/2023 14:00,24
08/02/2023 14:15,24
08/02/2023 14:30,24
08/02/2023 14:45,24.81818182
08/02/2023 15:00,25.63636364
08/02/2023 15:15,26.45454546
08/02/2023 15:30,27.27272727
08/02/2023 15:45,28.09090909
08/02/2023 16:00,28.90909091
08/02/2023 16:15,29.72727273
08/02/2023 16:30,30.54545455
08/02/2023 16:45,31.36363636
08/02/2023 17:00,32.18181818
08/02/2023 17:15,33
08/02/2023 17:30,33
08/02/2023 17:45,51
08/02/2023 18:00,51
08/02/2023 18:15,51
08/02/2023 18:30,51
08/02/2023 18:45,50
08/02/2023 19:00,50
08/02/2023 19:15,50
08/02/2023 19:30,50
08/02/2023 19:45,41
08/02/2023 20:00,41
08/02/2023 20:15,41
08/02/2023 20:30,41
08/02/2023 20:45,42
08/02/2023 21:00,42
08/02/2023 21:15,42
08/02/2023 21:30,42
08/02/2023 21:45,126
08/02/2023 22:00,126
08/02/2023 22:15,126
08/02/2023 22:30,126
08/02/2023 22:45,223
08/02/2023 23:00,223
08/02/2023 23:15,223
08/02/2023 23:30,223
08/02/2023 23:45,171
09/02/2023 00:00,171
09/02/2023 00:15,171
09/02/2023 00:30,171
09/02/2023 00:45,141
09/02/2023 01:00,141
09/02/2023 01:15,141
09/02/2023 01:30,141
09/02/2023 01:45,58
09/02/2023 02:00,58
09/02/2023 02:15,58
09/02/2023 02:30,58
09/02/2023 02:45,54
09/02/2023 03:00,54
09/02/2023 03:15,54
09/02/2023 03:30,54
09/02/2023 03:45,91
09/02/2023 04:00,91
09/02/2023 04:15,91
09/02/2023 04:30,91
09/02/2023 04:45,66
09/02/2023 05:00,66
09/02/2023 05:15,66
09/02/2023 05:30,66
09/02/2023 05:45,79
09/02/2023 06:00,79
09/02/2023 06:15,79
09/02/2023 06:30,79
09/02/2023 06:45,131
09/02/2023 07:00,131
09/02/2023 07:15,131
09/02/2023 07:30,131
09/02/2023 07:45,153
09/02/2023 08:00,153
09/02/2023 08:15,153
09/02/2023 08:30,153
09/02/2023 08:45,112
09/02/2023 09:00,112
09/02/2023 09:15,112
09/02/2023 09:30,112
09/02/2023 09:45,50
09/02/2023 10:00,50
09/02/2023 10:15,50
09/02/2023 10:30,50
09/02/2023 10:45,29
09/02/2023 11:00,29
09/02/2023 11:15,29
09/02/2023 11:30,29
09/02/2023 11:45,20
09/02/2023 12:00,20
09/02/2023 12:15,20
09/02/2023 12:30,20
09/02/2023 12:45,15
09/02/2023 13:00,15
09/02/2023 13:15,15
09/02/2023 13:30,15
09/02/2023 13:45,11
09/02/2023 14:00,11
09/02/2023 14:15,11
09/02/2023 14:30,11
09/02/2023 14:45,20
09/02/2023 15:00,20
09/02/2023 15:15,20
09/02/2023 15:30,20
09/02/2023 15:45,17
09/02/2023 16:00,17
09/02/2023 16:15,17
09/02/2023 16:30,17
09/02/2023 16:45,22
09/02/2023 17:00,22
09/02/2023 17:15,22
09/02/2023 17:30,22
09/02/2023 17:45,27
09/02/2023 18:00,27
09/02/2023 18:15,27
09/02/2023 18:30,27
09/02/2023 18:45,257
09/02/2023 19:00,257
09/02/2023 19:15,257
09/02/2023 19:30,257
09/02/2023 19:45,222
09/02/2023 20:00,222
09/02/2023 20:15,222
09/02/2023 20:30,222
09/02/2023 20:45,116
09/02/2023 21:00,116
09/02/2023 21:15,116
09/02/2023 21:30,116
09/02/2023 21:45,128
09/02/2023 22:00,128
09/02/2023 22:15,128
09/02/2023 22:30,128
09/02/2023 22:45,152
09/02/2023 23:00,152
09/02/2023 23:15,152
09/02/2023 23:30,152
09/02/2023 23:45,123
10/02/2023 00:00,123
10/02/2023 00:15,123
10/02/2023 00:30,123
10/02/2023 00:45,133
10/02/2023 01:00,133
10/02/2023 01:15,133
10/02/2023 01:30,133
10/02/2023 01:45,136
10/02/2023 02:00,136
10/02/2023 02:15,136
10/02/2023 02:30,136
10/02/2023 02:45,102
10/02/2023 03:00,102
10/02/2023 03:15,102
10/02/2023 03:30,102
10/02/2023 03:45,105
10/02/2023 04:00,105
10/02/2023 04:15,105
10/02/2023 04:30,105
10/02/2023 04:45,107
10/02/2023 05:00,107
10/02/2023 05:15,107
10/02/2023 05:30,107
10/02/2023 05:45,136
10/02/2023 06:00,136
10/02/2023 06:15,136
10/02/2023 06:30,136
10/02/2023 06:45,151
10/02/2023 07:00,151
10/02/2023 07:15,151
10/02/2023 07:30,151
10/02/2023 07:45,113
10/02/2023 08:00,113
10/02/2023 08:15,113
10/02/2023 08:30,113
10/02/2023 08:45,47
10/02/2023 09:00,47
10/02/2023 09:15,47
10/02/2023 09:30,47
10/02/2023 09:45,54
10/02/2023 10:00,54
10/02/2023 10:15,54
10/02/2023 10:30,54
10/02/2023 10:45,27
10/02/2023 11:00,27
10/02/2023 11:15,27
10/02/2023 11:30,27
10/02/2023 11:45,25
10/02/2023 12:00,25
10/02/2023 12:15,25
10/02/2023 12:30,25
10/02/2023 12:45,29
10/02/2023 13:00,29
10/02/2023 13:15,29
10/02/2023 13:30,29
10/02/2023 13:45,17
10/02/2023 14:00,17
10/02/2023 14:15,17
10/02/2023 14:30,17
10/02/2023 14:45,13
10/02/2023 15:00,13
10/02/2023 15:15,13
10/02/2023 15:30,13
10/02/2023 15:45,14
10/02/2023 16:00,14
10/02/2023 16:15,14
10/02/2023 16:30,14
10/02/2023 16:45,14
10/02/2023 17:00,14
10/02/2023 17:15,14
10/02/2023 17:30,14
10/02/2023 17:45,48
10/02/2023 18:00,48
10/02/2023 18:15,48
10/02/2023 18:30,48
10/02/2023 18:45,161
10/02/2023 19:00,161
10/02/2023 19:15,161
10/02/2023 19:30,161
10/02/2023 19:45,196
10/02/2023 20:00,196
10/02/2023 20:15,196
10/02/2023 20:30,196
10/02/2023 20:45,281
10/02/2023 21:00,281
10/02/2023 21:15,281
10/02/2023 21:30,281
10/02/2023 21:45,280
10/02/2023 22:00,280
10/02/2023 22:15,280
10/02/2023 22:30,280
10/02/2023 22:45,171
10/02/2023 23:00,171
10/02/2023 23:15,171
10/02/2023 23:30,171
10/02/2023 23:45,142
11/02/2023 00:00,142
11/02/2023 00:15,142
11/02/2023 00:30,142
11/02/2023 00:45,138
11/02/2023 01:00,138
11/02/2023 01:15,138
11/02/2023 01:30,138
11/02/2023 01:45,124
11/02/2023 02:00,124
11/02/2023 02:15,124
11/02/2023 02:30,124
11/02/2023 02:45,108
11/02/2023 03:00,108
11/02/2023 03:15,108
11/02/2023 03:30,108
11/02/2023 03:45,80
11/02/2023 04:00,80
11/02/2023 04:15,80
11/02/2023 04:30,80
11/02/2023 04:45,80
11/02/2023 05:00,80
11/02/2023 05:15,80
11/02/2023 05:30,80
11/02/2023 05:45,99
11/02/2023 06:00,99
11/02/2023 06:15,99
11/02/2023 06:30,99
11/02/2023 06:45,107
11/02/2023 07:00,107
11/02/2023 07:15,107
11/02/2023 07:30,107
11/02/2023 07:45,203
11/02/2023 08:00,203
11/02/2023 08:15,203
11/02/2023 08:30,203
11/02/2023 08:45,109
11/02/2023 09:00,109
11/02/2023 09:15,109
11/02/2023 09:30,109
11/02/2023 09:45,73
11/02/2023 10:00,73
11/02/2023 10:15,73
11/02/2023 10:30,73
11/02/2023 10:45,26
11/02/2023 11:00,26
11/02/2023 11:15,26
11/02/2023 11:30,26
11/02/2023 11:45,20
11/02/2023 12:00,20
11/02/2023 12:15,20
11/02/2023 12:30,20
11/02/2023 12:45,13
11/02/2023 13:00,13
11/02/2023 13:15,13
11/02/2023 13:30,13
11/02/2023 13:45,15
11/02/2023 14:00,15
11/02/2023 14:15,15
11/02/2023 14:30,15
11/02/2023 14:45,22
11/02/2023 15:00,22
11/02/2023 15:15,22
11/02/2023 15:30,22
11/02/2023 15:45,22.77777778
11/02/2023 16:00,23.55555556
11/02/2023 16:15,24.33333333
11/02/2023 16:30,25.11111111
11/02/2023 16:45,25.88888889
11/02/2023 17:00,26.66666667
11/02/2023 17:15,27.44444444
11/02/2023 17:30,28.22222222
11/02/2023 17:45,29
11/02/2023 18:00,29
11/02/2023 18:15,29
11/02/2023 18:30,29
11/02/2023 18:45,34
11/02/2023 19:00,34
11/02/2023 19:15,34
11/02/2023 19:30,34
11/02/2023 19:45,34
11/02/2023 20:00,34
11/02/2023 20:15,34
11/02/2023 20:30,34
11/02/2023 20:45,36
11/02/2023 21:00,36
11/02/2023 21:15,36
11/02/2023 21:30,36
11/02/2023 21:45,43
11/02/2023 22:00,43
11/02/2023 22:15,43
11/02/2023 22:30,43
11/02/2023 22:45,44
11/02/2023 23:00,44
11/02/2023 23:15,44
11/02/2023 23:30,44
11/02/2023 23:45,48
12/02/2023 00:00,48
12/02/2023 00:15,48
12/02/2023 00:30,48
12/02/2023 00:45,32
12/02/2023 01:00,32
12/02/2023 01:15,32
12/02/2023 01:30,32
12/02/2023 01:45,30
